1,960,37
2,983,40
3,1090,42
4,1480,53
5,1500,54
6,868,51
7,1020,40
8,770,31
9,277,35
10,1470,54
11,536,46
12,1160,44
13,910,35
14,580,27
15,313,39
16,1320,48
17,1260,47
18,1370,50
19,297,23
20,990,38
21,1030,39
22,750,32
23,1136,46
24,560,25
25,77,8
26,620,27
27,111,7
28,488,42
29,1260,47
30,586,33
31,344,24
32,470,27
33,1170,43
34,878,40
35,580,26
36,1058,44
37,720,32
38,1280,47
39,1520,54
40,540,25
41,1260,47
42,1196,50
43,1076,43
44,971,44
45,1620,57
46,1450,51
47,432,29
48,1110,41
49,800,33
50,1170,43
51,1390,51
52,490,29
53,995,44
54,1210,45
55,359,33
56,960,37
57,1300,54
58,1000,47
59,920,36
60,1460,50
61,750,29
62,1320,48
63,1430,52
64,362,33
65,596,49
66,1300,48
67,820,33
68,1080,47
69,856,42
70,780,31
71,710,29
72,436,27
73,1300,49
74,636,35
75,1440,53
76,1480,53
77,674,58
78,1346,55
79,770,31
80,685,37
81,1220,46
82,1100,41
83,79,9
84,1000,39
85,1580,55
86,1270,48
87,1011,41
88,20,1
89,910,37
90,930,36
91,680,31
92,1460,51
93,1640,57
94,1160,42
95,1100,40
96,1460,52
97,1220,44
98,980,38
99,850,33
100,1140,41
101,1600,57
102,146,25
103,298,35
104,1350,50
105,1200,43
106,1000,39
107,334,32
108,1250,47
109,1390,51
110,358,19
111,1070,39
112,1500,53
113,1470,55
114,1290,46
115,239,20
116,590,50
117,1020,39
118,379,37
119,0,0
120,840,32
121,657,40
122,1400,51
123,270,38
124,656,34
125,206,13
126,840,33
127,1385,56
128,1026,47
129,463,31
130,1840,65
131,900,35
132,1300,46
133,569,38
134,0,0
135,1410,50
136,693,37
137,494,30
138,700,29
139,1111,46
140,975,44
141,1620,55
142,586,29
143,356,34
144,1077,48
145,1213,49
146,1290,47
147,570,24
148,770,32
149,1370,50
150,1356,54
151,1140,43
152,540,24
153,342,35
154,1350,48
155,1810,63
156,1310,48
157,1510,53
158,1070,41
159,1220,47
160,104,28
161,570,25
162,550,29
163,521,47
164,1450,50
165,1670,56
166,786,36
167,1220,44
168,1620,58
169,1085,44
170,124,29
171,554,31
172,319,21
173,1660,59
174,658,37
175,456,31
176,1460,52
177,1300,45
178,990,45
179,940,35
180,1280,55
181,1410,50
182,666,53
183,710,29
184,990,38
185,524,29
186,720,48
187,1130,42
188,968,44
189,1550,56
190,1240,46
191,1226,50
192,351,27
193,975,43
194,1340,49
195,900,42
196,1430,52
197,1436,56
198,1420,51
199,1340,47
200,1290,48
201,1310,48
202,1640,58
203,1133,54
204,1130,41
205,1510,53
206,1340,49
207,713,34
208,800,33
209,732,43
210,1470,53
211,1085,49
212,302,40
213,735,37
214,1395,52
215,930,34
216,1300,48
217,297,26
218,719,44
219,440,25
220,1330,48
221,1510,55
222,805,40
223,289,29
224,911,42
225,1630,57
226,1120,41
227,66,15
228,1191,60
229,1070,43
230,696,50
231,1300,48
232,1420,50
233,1200,45
234,0,4
235,1000,45
236,1390,51
237,370,39
238,1135,49
239,610,30
240,506,45
241,301,41
242,1610,56
243,1490,51
244,1240,46
245,710,29
246,51,12
247,569,36
248,1320,46
249,1046,45
250,0,0
251,1120,46
252,0,1
253,1010,39
254,33,13
255,1120,44
256,1060,38
257,1283,51
258,1090,41
259,1050,40
260,690,30
261,503,28
262,910,34
263,1020,39
264,196,16
265,1450,52
266,1170,44
267,1276,51
268,930,36
269,310,17
270,1200,46
271,180,38
272,1280,46
273,1170,44
274,0,0
275,750,30
276,1380,49
277,1170,43
278,381,34
279,460,23
280,830,32
281,85,11
282,659,37
283,192,30
284,366,18
285,281,36
286,1060,40
287,178,31
288,964,49
289,550,24
290,381,43
291,484,30
292,500,25
293,901,41
294,530,24
295,0,0
296,1230,44
297,790,33
298,0,0
299,1190,53
300,1021,43
301,668,32
302,167,32
303,1440,53
304,417,41
305,471,31
306,1540,55
307,1001,46
308,650,28
309,893,38
310,168,26
311,749,40
312,673,36
313,970,46
314,1110,42
315,1820,66
316,906,54
317,1062,45
318,879,45
319,617,33
320,630,26
321,1220,43
322,1070,40
323,950,36
324,1390,49
325,1270,47
326,1095,49
327,1250,47
328,840,34
329,149,23
330,1200,45
331,324,35
332,960,37
333,1510,54
334,1170,43
335,1360,50
336,890,36
337,174,19
338,1300,49
339,236,22
340,951,41
341,485,27
342,149,15
343,1720,60
344,1090,42
345,1076,45
346,1185,49
347,1110,42
348,1080,40
349,1038,45
350,1423,55
351,391,20
352,1170,43
353,1470,53
354,1173,48
355,1050,39
356,1350,50
357,312,19
358,850,32
359,1226,49
360,130,19
361,0,0
362,1630,57
363,1040,41
364,58,21
365,1400,52
366,961,43
367,853,38
368,630,28
369,1550,55
370,155,19
371,750,36
372,941,39
373,1380,51
374,1450,52
375,1490,52
376,837,42
377,103,13
378,375,27
379,264,32
380,154,22
381,1150,40
382,736,44
383,1320,56
384,0,12
385,1380,51
386,1440,52
387,1120,42
388,685,57
389,368,35
390,1500,55
391,746,37
392,32,10
393,1490,53
394,990,39
395,1150,44
396,1281,49
397,500,23
398,1010,38
399,695,37
400,631,57
401,1350,50
402,1440,52
403,337,31
404,0,14
405,1175,50
406,1130,43
407,960,37
408,571,26
409,1206,47
410,635,57
411,561,30
412,36,11
413,867,46
414,1150,43
415,936,41
416,1260,46
417,44,10
418,720,44
419,1061,45
420,1350,49
421,1540,52
422,1380,49
423,1390,51
424,901,49
425,1220,44
426,468,62
427,125,19
428,104,15
429,1185,47
430,661,29
431,23,16
432,781,37
433,343,21
434,825,40
435,1120,42
436,1430,51
437,1110,43
438,592,33
439,1430,50
440,1190,44
441,1390,50
442,185,12
443,830,34
